;Predictions pour fin 2024
2024-09-02 00:00;2969.124
2024-09-02 00:15;2905.953
2024-09-02 00:30;2821.718
2024-09-02 00:45;2713.9807
2024-09-02 01:00;2624.8267
2024-09-02 01:15;2555.6328
2024-09-02 01:30;2484.6514
2024-09-02 01:45;2441.7388
2024-09-02 02:00;2412.246
2024-09-02 02:15;2397.3438
2024-09-02 02:30;2362.6775
2024-09-02 02:45;2336.8174
2024-09-02 03:00;2321.7588
2024-09-02 03:15;2308.1902
2024-09-02 03:30;2299.891
2024-09-02 03:45;2281.6733
2024-09-02 04:00;2282.1426
2024-09-02 04:15;2284.2927
2024-09-02 04:30;2284.2927
2024-09-02 04:45;2288.793
2024-09-02 05:00;2311.9788
2024-09-02 05:15;2356.859
2024-09-02 05:30;2397.156
2024-09-02 05:45;2482.1157
2024-09-02 06:00;2512.019
2024-09-02 06:15;2665.211
2024-09-02 06:30;2708.7947
2024-09-02 06:45;2767.6033
2024-09-02 07:00;2884.1128
2024-09-02 07:15;2995.5886
2024-09-02 07:30;3057.4048
2024-09-02 07:45;3138.709
2024-09-02 08:00;3255.3306
2024-09-02 08:15;3295.1177
2024-09-02 08:30;3369.5894
2024-09-02 08:45;3390.982
2024-09-02 09:00;3556.28
2024-09-02 09:15;3747.0793
2024-09-02 09:30;3786.6548
2024-09-02 09:45;3799.6257
2024-09-02 10:00;3804.973
2024-09-02 10:15;3805.19
2024-09-02 10:30;3808.1748
2024-09-02 10:45;3826.2883
2024-09-02 11:00;3829.0522
2024-09-02 11:15;3835.1047
2024-09-02 11:30;3842.1235
2024-09-02 11:45;3854.7402
2024-09-02 12:00;3944.1106
2024-09-02 12:15;3995.448
2024-09-02 12:30;3994.8562
2024-09-02 12:45;3999.8398
2024-09-02 13:00;3999.2598
2024-09-02 13:15;3951.6846
2024-09-02 13:30;3934.6306
2024-09-02 13:45;3915.0867
2024-09-02 14:00;3913.6084
2024-09-02 14:15;3905.5564
2024-09-02 14:30;3882.0002
2024-09-02 14:45;3856.6116
2024-09-02 15:00;3838.9944
2024-09-02 15:15;3834.6392
2024-09-02 15:30;3830.5442
2024-09-02 15:45;3772.2617
2024-09-02 16:00;3772.2617
2024-09-02 16:15;3772.2617
2024-09-02 16:30;3772.0073
2024-09-02 16:45;3772.0073
2024-09-02 17:00;3772.0073
2024-09-02 17:15;3779.1438
2024-09-02 17:30;3779.788
2024-09-02 17:45;3781.0764
2024-09-02 18:00;3791.443
2024-09-02 18:15;3746.3682
2024-09-02 18:30;3748.5383
2024-09-02 18:45;3767.4785
2024-09-02 19:00;3769.874
2024-09-02 19:15;3769.874
2024-09-02 19:30;3752.4011
2024-09-02 19:45;3752.4011
2024-09-02 20:00;3742.804
2024-09-02 20:15;3665.2493
2024-09-02 20:30;3608.1545
2024-09-02 20:45;3540.4873
2024-09-02 21:00;3487.2087
2024-09-02 21:15;3402.3906
2024-09-02 21:30;3367.916
2024-09-02 21:45;3301.083
2024-09-02 22:00;3284.6812
2024-09-02 22:15;3282.4395
2024-09-02 22:30;3281.9067
2024-09-02 22:45;3351.5295
2024-09-02 23:00;3327.7195
2024-09-02 23:15;3327.7195
2024-09-02 23:30;3255.368
2024-09-02 23:45;3160.0264
2024-09-03 00:00;2997.3965
2024-09-03 00:15;2930.221
2024-09-03 00:30;2842.0244
2024-09-03 00:45;2730.7349
2024-09-03 01:00;2645.0303
2024-09-03 01:15;2576.1265
2024-09-03 01:30;2505.7502
2024-09-03 01:45;2464.6033
2024-09-03 02:00;2435.1863
2024-09-03 02:15;2419.823
2024-09-03 02:30;2384.7378
2024-09-03 02:45;2361.094
2024-09-03 03:00;2346.1187
2024-09-03 03:15;2336.6404
2024-09-03 03:30;2328.3413
2024-09-03 03:45;2310.456
2024-09-03 04:00;2309.8242
2024-09-03 04:15;2316.3462
2024-09-03 04:30;2316.3462
2024-09-03 04:45;2320.6575
2024-09-03 05:00;2344.683
2024-09-03 05:15;2380.97
2024-09-03 05:30;2421.267
2024-09-03 05:45;2504.742
2024-09-03 06:00;2536.3835
2024-09-03 06:15;2691.6638
2024-09-03 06:30;2741.4712
2024-09-03 06:45;2798.9658
2024-09-03 07:00;3002.5122
2024-09-03 07:15;3117.5862
2024-09-03 07:30;3184.0474
2024-09-03 07:45;3255.7249
2024-09-03 08:00;3501.491
2024-09-03 08:15;3544.0422
2024-09-03 08:30;3642.096
2024-09-03 08:45;3675.3787
2024-09-03 09:00;3854.7463
2024-09-03 09:15;3894.0315
2024-09-03 09:30;3933.607
2024-09-03 09:45;3941.2766
2024-09-03 10:00;3948.4211
2024-09-03 10:15;3948.9045
2024-09-03 10:30;3956.776
2024-09-03 10:45;3975.7441
2024-09-03 11:00;3978.8384
2024-09-03 11:15;3993.5076
2024-09-03 11:30;4012.746
2024-09-03 11:45;4023.0977
2024-09-03 12:00;4107.231
2024-09-03 12:15;4154.4155
2024-09-03 12:30;4153.8237
2024-09-03 12:45;4158.0557
2024-09-03 13:00;4146.1816
2024-09-03 13:15;4101.0425
2024-09-03 13:30;4083.7307
2024-09-03 13:45;4062.732
2024-09-03 14:00;4052.4333
2024-09-03 14:15;4044.1667
2024-09-03 14:30;4001.0942
2024-09-03 14:45;3974.9136
2024-09-03 15:00;3959.0564
2024-09-03 15:15;3951.5095
2024-09-03 15:30;3935.5244
2024-09-03 15:45;3868.3533
2024-09-03 16:00;3868.3533
2024-09-03 16:15;3868.3533
2024-09-03 16:30;3868.0989
2024-09-03 16:45;3868.0989
2024-09-03 17:00;3868.0989
2024-09-03 17:15;3875.825
2024-09-03 17:30;3876.8203
2024-09-03 17:45;3878.1086
2024-09-03 18:00;3887.835
2024-09-03 18:15;3856.0542
2024-09-03 18:30;3869.8174
2024-09-03 18:45;3890.2588
2024-09-03 19:00;3893.7847
2024-09-03 19:15;3893.7847
2024-09-03 19:30;3876.3118
2024-09-03 19:45;3876.3118
2024-09-03 20:00;3865.7546
2024-09-03 20:15;3792.6616
2024-09-03 20:30;3734.069
2024-09-03 20:45;3664.0203
2024-09-03 21:00;3610.152
2024-09-03 21:15;3521.264
2024-09-03 21:30;3455.2087
2024-09-03 21:45;3359.722
2024-09-03 22:00;3341.953
2024-09-03 22:15;3336.8003
2024-09-03 22:30;3336.2676
2024-09-03 22:45;3408.8088
2024-09-03 23:00;3384.9988
2024-09-03 23:15;3384.9988
2024-09-03 23:30;3307.673
2024-09-03 23:45;3208.2122
2024-09-04 00:00;2997.389
2024-09-04 00:15;2926.9214
2024-09-04 00:30;2840.6921
2024-09-04 00:45;2729.4026
2024-09-04 01:00;2643.698
2024-09-04 01:15;2576.193
2024-09-04 01:30;2505.817
2024-09-04 01:45;2462.9175
